City State,Rank, Median
1,230,35246
2,96,32937
3,389,65758
4,407,36532
5,377,33431
6,33,41820
7,173,66116
8,395,47340
9,429,82001
10,229,33658
11,120,34996
12,53,52158
13,65,61217
14,255,45798
15,237,65882
16,469,51119
17,435,52468
18,274,46167
19,109,80433
20,51,48992
21,380,81739
22,231,61353
23,401,38837
24,276,29820
25,42,39752
26,116,37231
27,58,48309
28,126,55950
29,16,43731
30,476,53085
31,60,45174
32,333,42432
33,18,32456
34,91,31049
35,478,36700
36,223,32183
37,341,50884
38,207,69880
39,379,41507
40,439,35612
41,458,46838
42,297,48123
43,447,41599
44,284,38711
45,78,27020
46,482,51273
47,492,22589
48,369,54438
49,406,55733
50,111,46342
51,431,67810
52,28,42562
53,342,46002
54,488,39216
55,301,51356
56,180,36976
57,289,47250
58,330,54779
59,456,55460
60,125,24207
61,490,30012
62,397,58057
63,67,27311
64,250,51516
65,360,59746
66,411,18007
67,296,79535
68,416,27460
69,171,46933
70,283,78037
71,190,60482
72,288,61654
73,225,77395
74,197,47357
75,236,75313
76,463,30443
77,76,62010
78,215,36151
79,20,47131
80,164,32174
81,365,43345
82,82,60817
83,3,41015
84,424,32436
85,434,68705
86,364,93133
87,84,55610
88,340,40868
89,59,29554
90,356,49636
91,227,44384
92,220,40250
93,41,24105
94,415,49325
95,254,47993
96,367,56863
97,466,24218
98,43,47854
99,277,80720
100,355,37051
101,311,34196
102,123,34040
103,15,40405
104,260,39009
105,201,60458
106,186,63197
107,133,68049
108,63,39698
109,228,53361
110,390,56070
111,459,75564
112,9,36403
113,278,59199
114,419,55881
115,268,42801
116,310,55125
117,177,25928
118,272,45251
119,423,32233
120,422,35968
121,326,42440
122,318,38034
123,24,42370
124,98,42690
125,11,28069
126,210,42191
127,391,37083
128,110,42321
129,181,31915
130,481,29691
131,251,75928
132,421,55045
133,285,47050
134,216,36630
135,21,32205
136,280,51232
137,193,40413
138,187,82784
139,292,31376
140,174,51857
141,153,33070
142,475,58940
143,212,34362
144,307,39221
145,238,60680
146,261,37204
147,309,39886
148,376,70133
149,487,37001
150,183,40778
151,345,54985
152,208,25972
153,453,30248
154,480,78317
155,140,58481
156,192,44261
157,159,44169
158,363,32271
159,80,38063
160,19,40663
161,87,81582
162,34,37800
163,454,85187
164,156,58228
165,246,26954
166,107,52229
167,72,45924
168,264,25496
169,420,32717
170,119,76171
171,74,46713
172,100,49750
173,146,48865
174,101,38229
175,346,38846
176,275,40477
177,88,36733
178,491,26633
179,269,41116
180,457,34055
181,417,33586
182,172,45105
183,211,26032
184,248,41629
185,168,55649
186,388,32060
187,77,61483
188,371,50298
189,83,30271
190,242,40778
191,311,93677
192,348,49650
193,166,41602
194,47,50793
195,404,71405
196,4,36894
197,112,72141
198,139,44000
199,209,41398
200,13,41578
201,470,38878
202,194,34962
203,124,82827
204,85,46543
205,460,42269
206,131,31177
207,12,44173
208,71,40310
209,184,56175
210,477,31152
211,155,33157
212,38,41069
213,313,51095
214,414,41958
215,267,46888
216,331,50053
217,256,40896
218,127,30473
219,221,39158
220,446,29741
221,438,84081
222,303,35574
223,315,66186
224,154,50234
225,169,44277
226,196,34367
227,89,32019
228,425,36613
229,337,29363
230,25,47863
231,400,35989
232,354,31604
233,374,36952
234,324,70900
235,358,50703
236,68,42442
237,75,45790
238,121,39882
239,321,96632
240,235,66512
241,35,43746
242,396,51420
243,392,34985
244,464,30936
245,2,42667
246,23,38664
247,265,41272
248,97,33853
249,484,35744
250,343,35454
251,432,34738
252,302,23956
253,94,45928
254,214,50404
255,203,35004
256,286,69611
257,408,40564
258,394,40471
259,17,33244
260,465,32791
261,37,44861
262,188,47466
263,175,43044
264,335,33763
265,48,25211
266,290,32893
267,247,41660
268,22,32666
269,50,41829
270,206,57941
271,298,90855
272,483,63330
273,102,31107
274,95,45769
275,104,40582
276,132,56111
277,467,45908
278,436,75411
279,489,28212
280,339,39652
281,257,63028
282,451,37804
283,412,57040
284,148,93338
285,334,57056
286,27,40214
287,332,31845
288,427,39303
289,219,30603
290,39,30711
291,398,66363
292,1,43434
293,69,30665
294,350,97428
295,122,46641
296,349,91746
297,90,36920
298,262,38636
299,430,31017
300,130,53183
301,233,51137
302,325,65741
303,44,44124
304,134,55382
305,273,36162
306,449,75796
307,375,39058
308,29,37375
309,224,66230
310,45,40484
311,142,46344
312,167,69695
313,329,46797
314,79,36699
315,135,64804
316,118,48952
317,444,64666
318,299,40748
319,151,46536
320,86,41916
321,372,47843
322,182,51233
323,145,37642
324,445,29963
325,147,34987
326,413,36407
327,138,55847
328,158,60417
329,241,40276
330,5,32573
331,6,42353
332,62,30278
333,70,71560
334,306,60256
335,452,101022
336,440,74397
337,136,41805
338,271,40390
339,486,27802
340,191,49296
341,31,42287
342,270,40172
343,137,34202
344,245,31603
345,244,31261
346,336,59526
347,387,38156
348,54,48131
349,152,71967
350,359,24026
351,304,42891
352,410,52111
353,479,85594
354,361,67829
355,93,42214
356,281,50446
357,222,63932
358,266,52794
359,117,34396
360,472,47270
361,57,50416
362,300,32432
363,314,54000
364,113,26650
365,428,80937
366,163,35356
367,217,62291
368,258,68430
369,357,60190
370,36,44867
371,157,39259
372,141,50165
373,115,37287
374,352,36445
375,8,40186
376,92,33915
377,249,57574
378,7,55637
379,14,57496
380,10,70921
381,383,55235
382,386,67313
383,279,76704
384,316,65971
385,252,67120
386,56,47438
387,295,61182
388,240,71284
